author	author channel	cid	comment	commentsCount	hasCreatorHeart	pageUrl	publishedTimeText	replyCount	replyToCid	title	type	videoId	voteCount
@banashreeneog8214	FALSE	UgyeLeQpDcjGQaO_oJh4AaABAg	???????? ?????	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@khiruddutta9108	FALSE	Ugx0rO5YRoBGfc2IuKV4AaABAg	Tumi ahibane sabar karane bahut akhare bat sai asu ??	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	2
@bidyajyotidas5818	FALSE	UgxBauhoEM8y4-lE7Xd4AaABAg	Best Assamese film 2017 bhut dhunia love story flim hb I am so excited	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	11
@hirokjyotibhuyan169	FALSE	UgyTAIZ2MfCxqHzzrtR4AaABAg	film khn vl hbo...kintu railer tu vl nai hua.	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@abanibaruah7913	FALSE	UgzLGnooSMGiGrWZS814AaABAg	"Today Rememberig that all movies where Barasha rani acted...hope,this movie also give something like that...
Waiting...????"	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	5
@NeekSai	FALSE	UgyTI0AdEVzYqGVyI3F4AaABAg	Ki boring trailer...predictable kmur movie hbo..	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	3
@bappadey7637	FALSE	UgypdTjwAsz0fZTteh94AaABAg	Mja lgil	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	1
@gopeshjyotydul7447	FALSE	UgxzrRFKUBSRvBh5PBV4AaABAg	Vcd jen lagibo sai	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@jugachoudhury6988	FALSE	Ugw9dQ7a935VlG8fCGF4AaABAg	very good trailer	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	2
@monujhazarika7517	FALSE	Ugx-g1Q8S2OlCI7XL0F4AaABAg.8XtN-1l1WdP9fIUC4uCT9b	Apunar karona panpaniya hb para but  1core 95 lakh Box office collection kori film khon 2017 yers super hit film asil	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	2 years ago	0	Ugx-g1Q8S2OlCI7XL0F4AaABAg	Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	reply	_P5JKwd1no0	2
@jugachoudhury6988	FALSE	UgxBzmpObrCfOboPsZx4AaABAg	akha koru manuhe ahok sabole hall loi	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	3
@nayan.j	FALSE	Ugw0LsLkUTdy6eg6m294AaABAg	"?? ?? ?? ????, ????? ??? ?? ??? ?????? ?????? ??? ????"	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	5
@misspallobi3500	FALSE	Ugz2OPmv0LJBTTdrrDx4AaABAg	sai vl lgbo jen paixu	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	7
@BabluSaikia_24	FALSE	UgxC_gCTHtKdY6M19hd4AaABAg	nice video	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	2
@biswajitdeka9908	FALSE	Ugxmu_KkNL8k7CUtt7l4AaABAg	??????????	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@itzmoyemoye	FALSE	UgyFe3r0x7yIFxlRvUx4AaABAg	Bhal laga nai re...	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@babunmondal844	FALSE	Ugz6WzjmUE81wau-dy94AaABAg	??	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	7 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
