"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@akbhai69","false","UgweF9brvHG-Qyqd4wp4AaABAg","Jai adivasi","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@aninditak1864","false","Ugzwm6UOKpoGZqPGZGV4AaABAg","Jabardast.... Mindblowing","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@hirak6929","false","UgyeL0okTnR0BTpLiIN4AaABAg","Aryy waaah waaah waaah Zubeen daa 😍😍🥰🥰🥰🥰","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@nitumoniboruah2718","false","UgxkhgSUtmD6MFQ0Cgp4AaABAg","Fali dse beh 😮❤❤","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@injamulali1409","false","UgxILbsAqSSz-Wk7u7d4AaABAg","Ki bnaise bhai❤❤❤❤❤","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@gopalkumarsah2332","false","Ugzs7kPhiQDxWG0WPHx4AaABAg","Heavy trailer 🔥🔥","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@Sanjay05Romeo","false","UgyaBhpPjJgrH4oQoJ14AaABAg","Flop","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","5",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@parthasa2z758","false","UgyQifVzdENdOjjhzSh4AaABAg","জয় জুবিন দা ❤❤🎉🎉","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@munjyotideka5867","false","Ugwp3vSdlbJXa_jmg114AaABAg","Mostly like this video of this your mind of old days","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@NOBITA-GAMER.0011","false","UgzaLZPWObCP3-6cWId4AaABAg","1st Day 1st Show Sam","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","1"
"@NayanjyotiSarma-py7qc","false","Ugzgwhs2qRo8qoHpeVB4AaABAg","Ultimate","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@khairulkhairul9020","false","UgxurL6_yFccMcjlsTR4AaABAg","Zubeen daa nice move","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@axombikash","false","UgxlWM4LqcfJYfwyQzN4AaABAg","🔥🔥 super duper hit hobo","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@notfaithfreind8383","false","UgxGVPOl265TTko8WPF4AaABAg","2050 saal ke liye comment kar raha hun,,, job like ayega tab phir dekhenge,,,pura zamana yaad rakhega ye assam ka sabse accha movie hai","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@user-nj8kq2dk6p","false","UgyaBhpPjJgrH4oQoJ14AaABAg.A8U7pLOGye5A8UztSzZTCE","Papon fan....😂😂😂😂","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0","UgyaBhpPjJgrH4oQoJ14AaABAg","SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","reply","rA_GLld3Dwc","0"
"@Sanjay05Romeo","false","UgyaBhpPjJgrH4oQoJ14AaABAg.A8U7pLOGye5A8V4va19dqu"," @user-nj8kq2dk6p  nohoi movie tu script tu bhal loga nai","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0","UgyaBhpPjJgrH4oQoJ14AaABAg","SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","reply","rA_GLld3Dwc","0"
"@user-nj8kq2dk6p","false","UgyaBhpPjJgrH4oQoJ14AaABAg.A8U7pLOGye5A8V5ew76FYw"," @Sanjay05Romeo  nusuwake kene gompala","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0","UgyaBhpPjJgrH4oQoJ14AaABAg","SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","reply","rA_GLld3Dwc","0"
"@Sanjay05Romeo","false","UgyaBhpPjJgrH4oQoJ14AaABAg.A8U7pLOGye5A8V6dsIHcZ_"," @user-nj8kq2dk6p  trailer Sai gom paisu kenekua hobo","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0","UgyaBhpPjJgrH4oQoJ14AaABAg","SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","reply","rA_GLld3Dwc","0"
"@user-nj8kq2dk6p","false","UgyaBhpPjJgrH4oQoJ14AaABAg.A8U7pLOGye5A8WAzD2R2BN"," @Sanjay05Romeo o hbo pre ... kintu 1000 ta vitrt 10 Tai kuwa kothatu mani ne 990 tai kuwatu manim","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","14 hours ago","0","UgyaBhpPjJgrH4oQoJ14AaABAg","SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","reply","rA_GLld3Dwc","0"
"@GlassWiings","false","Ugx69MOmUZxgTmtLiMd4AaABAg","That last scene is inspired (copied)  from RRR","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@Lil___JOY___","false","Ugw8e4WMpez9oj5gnMN4AaABAg","Zubeen Da tumi hodai Zeng🔥🔥🔥🔥🔥","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","1"
